date,close,high,low,open,volume
2021-02-19,22.0,23.0,22.0,22.0,1400
2021-02-22,18.049999237060547,18.049999237060547,18.049999237060547,18.049999237060547,100
2021-02-23,18.5,18.5,18.5,18.5,300
2021-02-24,18.5,18.5,18.5,18.5,0
2021-02-25,17.0,18.549999237060547,17.0,18.5,800
2021-02-26,17.25,17.25,17.25,17.25,1400
2021-03-01,18.5,19.989999771118164,18.5,19.989999771118164,1200
2021-03-02,18.5,19.5,18.5,19.5,2500
2021-03-03,18.5,18.5,18.5,18.5,0
2021-03-04,19.0,19.0,19.0,19.0,100
2021-03-05,18.5,18.5,18.5,18.5,400
2021-03-08,18.5,18.5,18.5,18.5,300
2021-03-09,18.5,18.5,18.5,18.5,0
2021-03-10,22.5,22.5,22.5,22.5,100
2021-03-11,22.5,22.5,22.5,22.5,0
2021-03-12,22.5,22.5,22.5,22.5,0
2021-03-15,22.5,22.5,22.5,22.5,0
2021-03-16,18.5,18.5,18.5,18.5,700
2021-03-17,17.0,18.0,17.0,18.0,3000
2021-03-18,17.0,17.0,17.0,17.0,0
2021-03-19,17.0,17.0,17.0,17.0,0
2021-03-22,17.0,17.0,17.0,17.0,0
2021-03-23,17.0,17.0,17.0,17.0,0
2021-03-24,17.5,17.5,17.0,17.0,300
2021-03-25,19.0,19.0,19.0,19.0,200
2021-03-26,19.0,19.0,19.0,19.0,0
2021-03-29,19.0,19.0,19.0,19.0,400
2021-03-30,19.0,19.0,19.0,19.0,0
2021-03-31,19.0,19.0,19.0,19.0,0
2021-04-01,19.0,19.0,19.0,19.0,0
2021-04-05,19.0,19.0,19.0,19.0,0
2021-04-06,19.5,19.5,19.5,19.5,200
2021-04-07,19.5,19.5,19.5,19.5,0
2021-04-08,19.5,19.5,19.5,19.5,0
2021-04-09,19.5,19.5,19.5,19.5,100
2021-04-12,19.5,19.5,19.5,19.5,0
2021-04-13,19.5,19.5,19.5,19.5,0
2021-04-14,20.86000061035156,20.86000061035156,20.86000061035156,20.86000061035156,1000
2021-04-15,20.86000061035156,20.86000061035156,20.86000061035156,20.86000061035156,0
2021-04-16,20.86000061035156,20.86000061035156,20.86000061035156,20.86000061035156,0
2021-04-19,21.950000762939453,21.950000762939453,21.950000762939453,21.950000762939453,100
2021-04-20,21.950000762939453,21.950000762939453,21.950000762939453,21.950000762939453,0
2021-04-21,21.950000762939453,21.950000762939453,21.950000762939453,21.950000762939453,0
2021-04-22,18.5,18.5,18.5,18.5,200
2021-04-23,18.5,18.5,18.5,18.5,0
2021-04-26,21.5,21.5,19.0,19.0,1700
2021-04-27,18.5,18.5,18.5,18.5,1000
2021-04-28,18.5,18.5,18.5,18.5,0
2021-04-29,18.5,18.5,18.5,18.5,0
2021-04-30,21.25,21.25,21.25,21.25,100
2021-05-03,21.25,21.25,21.25,21.25,0
2021-05-04,21.25,21.25,21.25,21.25,0
2021-05-05,21.25,21.25,21.25,21.25,0
2021-05-06,18.5,18.5,18.5,18.5,2400
2021-05-07,18.51000022888184,18.51000022888184,18.5,18.51000022888184,2300
2021-05-10,18.51000022888184,18.51000022888184,18.51000022888184,18.51000022888184,0
2021-05-11,21.25,21.25,21.25,21.25,200
2021-05-12,21.25,21.25,21.25,21.25,0
2021-05-13,21.25,21.25,21.25,21.25,100
2021-05-14,21.25,21.25,21.25,21.25,400
2021-05-17,21.0,21.0,21.0,21.0,300
2021-05-18,21.25,21.25,21.0,21.0,200
2021-05-19,21.25,21.25,21.25,21.25,0
2021-05-20,19.0,20.0,19.0,20.0,200
2021-05-21,21.5,21.5,21.5,21.5,200
2021-05-24,21.5,21.5,21.5,21.5,0
2021-05-25,21.5,21.5,21.5,21.5,0
2021-05-26,21.5,21.5,21.5,21.5,100
2021-05-27,21.5,21.5,21.5,21.5,0
2021-05-28,21.5,21.5,21.5,21.5,0
2021-06-01,21.5,21.5,21.5,21.5,0
2021-06-02,21.5,21.5,21.5,21.5,0
2021-06-03,21.5,21.5,21.5,21.5,0
2021-06-04,21.5,21.5,21.5,21.5,0
2021-06-07,21.5,21.5,21.5,21.5,0
2021-06-08,21.100000381469727,21.100000381469727,21.0,21.0,600
2021-06-09,18.5,18.75,18.5,18.75,700
2021-06-10,18.5,18.5,18.5,18.5,0
2021-06-11,18.5,18.5,18.5,18.5,0
2021-06-14,18.5,18.5,18.5,18.5,0
2021-06-15,18.5,18.5,18.5,18.5,0
2021-06-16,19.56999969482422,19.56999969482422,19.56999969482422,19.56999969482422,600
2021-06-17,19.56999969482422,19.56999969482422,19.56999969482422,19.56999969482422,0
2021-06-18,19.5,19.5,19.5,19.5,200
2021-06-21,22.0,22.0,20.32999992370605,20.32999992370605,2000
2021-06-22,22.0,22.0,22.0,22.0,300
2021-06-23,22.0,22.0,22.0,22.0,0
