date,close,high,low,open,volume
2021-03-15,10240.0,10780.0,10000.0,10580.0,500
2021-03-16,10460.0,10554.0,9820.0,10240.0,391
2021-03-17,10560.0,10700.0,9940.0,10160.0,489
2021-03-18,10120.0,10700.0,9900.0,10280.0,506
2021-03-19,10160.0,10480.0,9880.0,10160.0,663
2021-03-22,10100.0,10360.0,9760.0,10120.0,521
2021-03-23,9320.0,10000.0,9180.0,9900.0,680
2021-03-24,8840.0,9600.0,8700.0,9500.0,495
2021-03-25,8960.0,9080.0,8200.0,8620.0,425
2021-03-26,9020.0,9130.0,8620.0,9100.0,321
2021-03-29,8480.0,9040.0,8320.0,9040.0,385
2021-03-30,8140.0,8572.0,7844.0,8500.0,577
2021-03-31,8620.0,8660.0,8100.0,8140.0,402
2021-04-01,8440.0,8980.0,8380.0,8740.0,408
2021-04-05,8400.0,8600.0,8100.0,8480.0,319
2021-04-06,8540.0,8800.0,8220.0,8360.0,279
2021-04-07,8140.0,8520.0,8000.0,8520.0,376
2021-04-08,9740.0,9900.0,8300.0,8360.0,1729
2021-04-09,8920.0,9740.0,8860.0,9730.0,586
2021-04-12,8460.0,9520.0,8420.0,9060.0,597
2021-04-13,8380.0,8760.0,8120.0,8420.0,371
2021-04-14,8140.0,8600.0,8120.0,8380.0,244
2021-04-15,7980.0,8300.0,7880.0,8140.0,384
2021-04-16,7920.0,8140.0,7750.0,8100.0,258
2021-04-19,7640.0,7980.0,7480.0,7880.0,307
2021-04-20,6800.0,7760.0,6440.0,7720.0,990
2021-04-21,7720.0,7810.0,6640.0,6700.0,568
2021-04-22,7580.0,7920.0,7400.0,7800.0,377
2021-04-23,7760.0,7860.0,7500.0,7620.0,177
2021-04-26,7900.0,7948.0,7620.0,7760.0,277
2021-04-27,7680.0,7960.0,7520.0,7960.0,304
2021-04-28,7780.0,7900.0,7500.0,7740.0,219
2021-04-29,7820.0,7880.0,7500.0,7820.0,263
2021-04-30,7600.0,7880.0,7490.0,7720.0,179
2021-05-03,7580.0,7720.0,7420.0,7640.0,151
2021-05-04,7360.0,8320.0,7280.0,7360.0,808
2021-05-05,7260.0,7630.0,6960.0,7400.0,620
2021-05-06,6840.0,7480.0,6720.0,7400.0,555
2021-05-07,6840.0,7200.0,6780.0,6920.0,422
2021-05-10,6720.0,6940.0,6540.0,6940.0,298
2021-05-11,6660.0,6720.0,6100.0,6460.0,388
2021-05-12,6440.0,6800.0,6430.0,6640.0,382
2021-05-13,6220.0,6580.0,6060.0,6300.0,451
2021-05-14,6640.0,6998.0,6080.0,6280.0,391
2021-05-17,6860.0,6900.0,6460.0,6600.0,214
2021-05-18,7080.0,7320.0,6920.0,6960.0,333
2021-05-19,7200.0,7260.0,6854.0,6940.0,187
2021-05-20,7380.0,7590.0,7120.0,7240.0,219
2021-05-21,7480.0,7700.0,7320.0,7540.0,284
2021-05-24,7240.0,7580.0,7220.0,7580.0,185
2021-05-25,7180.0,7400.0,7140.0,7200.0,178
2021-05-26,7340.0,7480.0,7160.0,7160.0,188
2021-05-27,7480.0,7562.0,7300.0,7420.0,172
2021-05-28,7480.0,7660.0,7340.0,7560.0,170
2021-06-01,7540.0,7620.0,7280.0,7480.0,186
2021-06-02,7520.0,7720.0,7440.0,7600.0,299
2021-06-03,7440.0,7600.0,7360.0,7460.0,225
2021-06-04,7340.0,7540.0,7320.0,7400.0,271
2021-06-07,7900.0,8140.0,7380.0,7420.0,458
2021-06-08,7800.0,8080.0,7540.0,7880.0,267
2021-06-09,7740.0,7980.0,7700.0,7860.0,248
2021-06-10,7460.0,7900.0,7420.0,7860.0,321
2021-06-11,7320.0,7560.0,7120.0,7440.0,287
2021-06-14,7380.0,7480.0,7220.0,7260.0,224
2021-06-15,7120.0,7460.0,7060.0,7380.0,210
2021-06-16,7000.0,7196.0,6780.0,7060.0,224
2021-06-17,6980.0,7160.0,6900.0,7060.0,167
