date,close,high,low,open,volume
2021-03-15,156.75,161.0,153.0,160.25,10788
2021-03-16,159.5,166.25,156.25,158.25,12760
2021-03-17,161.0,162.0,153.0,156.75,8884
2021-03-18,157.5,166.25,156.75,160.0,15144
2021-03-19,158.0,163.75,156.5,158.0,7488
2021-03-22,160.25,162.0,154.0,160.0,7012
2021-03-23,160.5,164.5,157.75,162.5,13708
2021-03-24,156.5,162.25,155.75,161.25,27852
2021-03-25,150.75,155.25,142.5,152.5,20992
2021-03-26,149.25,156.5,144.75,151.0,9044
2021-03-29,144.5,149.75,140.75,149.0,8620
2021-03-30,146.0,147.75,137.5,142.5,9764
2021-03-31,151.0,152.75,147.25,147.25,12184
2021-04-01,158.75,160.0,150.25,150.25,10952
2021-04-05,156.0,160.25,153.5,159.75,5520
2021-04-06,157.5,160.25,152.0,155.75,9700
2021-04-07,159.25,168.25,157.5,159.25,18936
2021-04-08,159.75,163.0,155.75,162.75,15500
2021-04-09,157.5,159.75,153.0,158.5,12040
2021-04-12,150.75,156.5,147.75,156.5,13120
2021-04-13,149.25,152.25,145.5,152.25,14396
2021-04-14,153.0,153.75,146.75,148.0,9680
2021-04-15,149.75,153.25,147.75,153.25,14268
2021-04-16,146.25,148.5,143.75,148.0,13136
2021-04-19,144.5,145.75,138.0,144.25,13048
2021-04-20,137.5,145.25,137.25,144.75,12484
2021-04-21,145.5,146.0,133.5,137.5,27796
2021-04-22,142.75,148.25,142.5,147.75,6904
2021-04-23,154.0,155.0,142.75,142.75,15340
2021-04-26,158.25,160.0,152.75,153.0,15460
2021-04-27,143.25,152.25,137.75,139.0,64340
2021-04-28,144.75,147.25,141.75,143.5,9588
2021-04-29,140.25,147.75,139.75,147.75,15240
2021-04-30,141.25,143.25,139.5,141.5,14624
2021-05-03,139.5,141.5,139.0,140.5,8324
2021-05-04,136.0,140.75,134.0,140.0,20348
2021-05-05,137.5,137.75,132.5,135.25,8344
2021-05-06,133.75,137.5,130.0,137.5,11704
2021-05-07,138.0,140.75,131.75,132.0,7524
2021-05-10,129.5,139.25,127.75,139.25,13724
2021-05-11,129.75,134.5,120.25,125.0,10116
2021-05-12,122.25,130.0,122.0,128.0,8188
2021-05-13,120.0,127.5,118.0,125.0,16888
2021-05-14,125.0,126.75,119.0,120.0,7124
2021-05-17,124.25,127.0,122.25,125.0,2640
2021-05-18,131.5,135.5,125.0,125.25,7372
2021-05-19,133.0,133.75,126.25,129.5,5496
2021-05-20,140.0,142.25,133.0,133.0,6872
2021-05-21,136.0,142.25,135.75,140.25,2892
2021-05-24,136.0,143.5,131.0,135.75,8808
2021-05-25,126.75,135.75,124.75,135.75,15328
2021-05-26,131.25,134.25,127.0,127.0,5632
2021-05-27,134.0,135.75,129.5,131.75,6480
2021-05-28,131.75,136.75,130.75,135.25,3348
2021-06-01,132.75,138.5,128.0,130.25,6164
2021-06-02,133.0,135.0,127.75,131.75,5996
2021-06-03,130.75,133.75,130.25,132.75,3300
2021-06-04,137.0,141.25,131.25,131.25,12104
2021-06-07,139.5,140.0,135.25,136.25,2768
2021-06-08,157.5,171.0,136.5,142.5,31188
2021-06-09,155.5,158.0,151.25,155.75,4180
2021-06-10,152.0,155.75,151.25,153.75,5396
2021-06-11,151.75,164.5,149.5,155.0,22504
2021-06-14,152.25,152.5,148.5,151.25,4832
2021-06-15,152.75,154.5,149.75,152.5,4348
2021-06-16,148.25,154.75,146.0,152.25,7724
2021-06-17,146.25,150.0,146.0,147.25,4040
2021-06-18,144.5,147.5,142.75,146.25,4064
2021-06-21,149.75,150.5,142.5,142.5,4612
2021-06-22,144.25,149.75,144.0,147.5,2716
2021-06-23,151.0,152.75,144.25,144.25,7056
2021-06-24,147.75,154.0,145.75,151.5,7048
2021-06-25,149.0,152.0,147.0,147.0,3784
2021-06-28,149.5,151.0,145.75,150.0,2472
2021-06-29,152.75,155.25,147.75,148.75,4408
2021-06-30,150.5,156.25,148.5,152.25,4872
2021-07-01,146.5,152.0,145.0,152.0,3064
2021-07-02,144.25,148.75,142.5,148.75,2408
2021-07-06,144.75,147.5,142.75,145.75,4252
2021-07-07,140.25,145.75,139.25,145.75,3928
2021-07-08,140.25,143.5,138.5,139.0,3092
2021-07-09,144.5,147.25,140.0,141.5,2572
2021-07-12,144.75,146.75,143.75,145.0,1948
2021-07-13,145.75,149.5,142.5,145.0,4296
2021-07-14,141.25,147.0,140.75,147.0,2612
2021-07-15,140.5,144.75,139.5,142.0,5000
2021-07-16,137.0,142.0,135.75,142.0,5308
2021-07-19,134.0,135.75,132.75,134.25,3020
2021-07-20,134.0,136.75,132.5,133.5,3548
2021-07-21,138.0,140.75,134.0,134.5,3696
2021-07-22,133.25,140.5,133.0,137.5,2188
2021-07-23,129.0,136.75,127.5,131.5,3972
2021-07-26,126.0,133.75,125.0,129.5,8116
2021-07-27,129.25,129.5,122.0,127.25,7556
2021-07-28,131.25,133.75,129.5,132.0,2284
2021-07-29,133.0,134.25,130.25,131.5,2620
2021-07-30,134.0,136.25,132.5,132.5,3912
2021-08-02,135.75,140.25,133.5,133.5,2360
2021-08-03,137.75,141.5,132.5,132.5,7456
2021-08-04,136.75,142.25,136.25,137.5,8404
2021-08-05,138.0,140.5,136.25,136.25,2156
2021-08-06,138.75,141.5,137.5,137.75,3236
2021-08-09,135.0,138.75,135.0,136.5,5964
2021-08-10,132.75,136.75,132.75,135.0,3516
2021-08-11,138.25,138.75,132.5,132.75,16548
2021-08-12,135.0,142.0,134.0,141.5,7692
2021-08-13,137.5,138.5,129.25,137.25,12420
2021-08-16,131.5,140.0,131.5,138.25,6848
2021-08-17,120.75,130.5,117.75,130.5,17684
2021-08-18,119.25,122.75,119.0,121.5,5372
2021-08-19,112.25,118.5,111.5,118.5,10988
2021-08-20,115.0,117.0,110.0,110.5,5588
2021-08-23,118.5,120.5,115.0,117.0,5476
2021-08-24,125.75,126.75,119.75,119.75,4388
2021-08-25,125.0,127.5,123.5,125.5,3040
2021-08-26,125.25,128.0,123.75,123.75,1904
2021-08-27,127.5,131.25,124.25,125.0,6404
2021-08-30,126.25,127.5,122.75,127.0,12244
2021-08-31,128.5,131.25,125.75,126.25,3536
2021-09-01,126.75,129.75,125.5,128.75,2792
2021-09-02,127.25,129.5,125.75,128.75,3560
2021-09-03,124.75,128.25,124.5,127.5,1628
2021-09-07,125.0,126.25,122.75,125.0,2640
2021-09-08,120.25,125.25,119.75,124.25,2948
2021-09-09,120.75,124.25,120.0,120.0,1616
2021-09-10,121.25,123.75,118.75,119.0,2460
2021-09-13,120.75,124.25,118.25,120.5,4484
2021-09-14,117.25,122.25,116.5,120.25,1804
2021-09-15,119.0,122.5,116.5,117.75,2440
2021-09-16,121.0,121.75,117.75,121.0,2164
2021-09-17,118.0,120.75,116.75,119.75,2624
2021-09-20,116.75,118.0,115.25,116.25,4092
2021-09-21,116.5,119.0,116.0,119.0,1924
2021-09-22,116.5,118.75,116.25,116.5,1776
2021-09-23,115.0,120.5,114.5,118.0,5524
2021-09-24,114.0,115.5,112.75,113.75,3632
2021-09-27,114.0,115.0,113.0,114.0,4064
2021-09-28,111.75,113.5,110.75,113.0,2476
2021-09-29,110.5,113.25,110.0,113.25,2976
2021-09-30,109.75,110.75,108.5,110.0,3452
2021-10-01,107.5,111.0,107.0,110.0,4672
2021-10-04,106.75,108.0,106.75,106.75,2576
2021-10-05,105.0,107.25,103.0,106.5,6388
2021-10-06,102.0,105.75,101.25,104.25,9924
2021-10-07,105.5,108.75,102.75,102.75,4860
2021-10-08,105.0,107.5,104.25,107.5,2332
2021-10-11,106.0,108.75,104.75,105.25,1676
2021-10-12,107.5,108.0,105.0,105.5,1844
2021-10-13,111.25,112.5,107.25,108.25,1536
2021-10-14,114.25,116.25,112.5,112.5,1976
2021-10-15,111.75,116.5,111.5,116.25,2276
2021-10-18,111.25,115.75,110.75,112.25,2844
2021-10-19,112.25,112.5,110.25,110.25,1332
2021-10-20,116.5,116.75,111.75,111.75,1928
2021-10-21,116.5,118.75,116.25,116.25,928
2021-10-22,118.25,121.5,116.25,116.25,4560
2021-10-25,117.5,120.0,116.5,120.0,1488
2021-10-26,112.75,117.5,112.5,117.5,1804
2021-10-27,111.25,114.5,110.5,113.75,1640
2021-10-28,111.75,112.75,110.5,112.5,1324
2021-10-29,112.0,114.25,109.75,114.25,3084
2021-11-01,116.25,117.5,110.25,111.5,3580
2021-11-02,128.25,137.75,118.75,121.75,23104
2021-11-03,138.0,142.0,130.0,130.5,9160
